Source IP,Destination IP,Protocol,Summary
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13709 A
120.233.70.120,10.134.178.204,6,Ether / IP / TCP 120.233.70.120:11001 > 10.134.178.204:13471 PA / Raw
120.233.70.120,10.134.178.204,6,Ether / IP / TCP 120.233.70.120:11001 > 10.134.178.204:13471 PA / Raw
10.134.178.204,120.233.70.120,6,Ether / IP / TCP 10.134.178.204:13471 > 120.233.70.120:11001 A
120.233.70.120,10.134.178.204,6,Ether / IP / TCP 120.233.70.120:11001 > 10.134.178.204:13471 PA / Raw
10.134.178.204,120.233.70.120,6,Ether / IP / TCP 10.134.178.204:13471 > 120.233.70.120:11001 A
10.134.178.204,239.255.255.250,17,Ether / IP / UDP 10.134.178.204:65526 > 239.255.255.250:ssdp / Raw
10.134.178.204,183.36.29.108,17,Ether / IP / UDP 10.134.178.204:43094 > 183.36.29.108:32002 / Raw
10.134.178.204,183.146.28.142,17,Ether / IP / UDP 10.134.178.204:43094 > 183.146.28.142:32002 / Raw
10.134.178.204,125.37.204.55,17,Ether / IP / UDP 10.134.178.204:43094 > 125.37.204.55:32002 / Raw
10.134.178.204,61.139.65.56,17,Ether / IP / UDP 10.134.178.204:33001 > 61.139.65.56:32002 / Raw
125.37.204.55,10.134.178.204,17,Ether / IP / UDP 125.37.204.55:32002 > 10.134.178.204:43094 / Raw
183.146.28.142,10.134.178.204,17,Ether / IP / UDP 183.146.28.142:32002 > 10.134.178.204:43094 / Raw
61.139.65.56,10.134.178.204,17,Ether / IP / UDP 61.139.65.56:32002 > 10.134.178.204:33001 / Raw
183.36.29.108,10.134.178.204,17,Ether / IP / UDP 183.36.29.108:32002 > 10.134.178.204:43094 / Raw
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13742 > 120.233.171.83:11001 A / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13742 A
10.134.178.204,120.233.70.120,6,Ether / IP / TCP 10.134.178.204:13748 > 120.233.70.120:11001 A / Raw
10.134.178.204,239.255.255.250,17,Ether / IP / UDP 10.134.178.204:65526 > 239.255.255.250:ssdp / Raw
120.233.70.120,10.134.178.204,6,Ether / IP / TCP 120.233.70.120:11001 > 10.134.178.204:13748 A
10.134.178.204,59.110.73.39,6,Ether / IP / TCP 10.134.178.204:7275 > 59.110.73.39:10010 PA / Raw
10.134.178.204,59.110.73.39,6,Ether / IP / TCP 10.134.178.204:7275 > 59.110.73.39:10010 A / Raw
10.134.178.204,59.110.73.39,6,Ether / IP / TCP 10.134.178.204:7275 > 59.110.73.39:10010 PA / Raw
59.110.73.39,10.134.178.204,6,Ether / IP / TCP 59.110.73.39:10010 > 10.134.178.204:7275 A / Padding
59.110.73.39,10.134.178.204,6,Ether / IP / TCP 59.110.73.39:10010 > 10.134.178.204:7275 A / Padding
59.110.73.39,10.134.178.204,6,Ether / IP / TCP 59.110.73.39:10010 > 10.134.178.204:7275 PA / Raw
10.134.178.204,59.110.73.39,6,Ether / IP / TCP 10.134.178.204:7275 > 59.110.73.39:10010 PA / Raw
59.110.73.39,10.134.178.204,6,Ether / IP / TCP 59.110.73.39:10010 > 10.134.178.204:7275 PA / Raw
10.134.178.204,59.110.73.39,6,Ether / IP / TCP 10.134.178.204:7275 > 59.110.73.39:10010 PA / Raw
59.110.73.39,10.134.178.204,6,Ether / IP / TCP 59.110.73.39:10010 > 10.134.178.204:7275 A / Padding
59.110.73.39,10.134.178.204,6,Ether / IP / TCP 59.110.73.39:10010 > 10.134.178.204:7275 PA / Raw
10.134.178.204,59.110.73.39,6,Ether / IP / TCP 10.134.178.204:7275 > 59.110.73.39:10010 A
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13697 > 120.233.171.83:11001 A / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13697 A
20.187.186.89,10.134.178.204,6,Ether / IP / TCP 20.187.186.89:https > 10.134.178.204:7653 PA / Raw
10.134.178.204,20.187.186.89,6,Ether / IP / TCP 10.134.178.204:7653 > 20.187.186.89:https PA / Raw
20.187.186.89,10.134.178.204,6,Ether / IP / TCP 20.187.186.89:https > 10.134.178.204:7653 A / Padding
10.134.178.204,183.36.29.108,17,Ether / IP / UDP 10.134.178.204:43094 > 183.36.29.108:32002 / Raw
